epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6987,1.28091,3.78191,4.86809,1.37419,0,0,0,0,0,0,0,0,0.65736,6.0903,4.45882,0.97206,4.056e-05,4.056e-05,4.056e-05
2,102.233,1.11859,3.14662,4.79343,1.30205,0,0,0,0,0,0,0,0,0.5812,5.94582,4.41842,0.9619,8.22707e-05,8.22707e-05,8.22707e-05
3,149.345,1.03444,2.87412,4.70753,1.25863,0,0,0,0,0,0,0,0,0.58498,4.67313,4.42811,0.98811,0.000123564,0.000123564,0.000123564
4,196.428,1.02231,2.74148,4.65035,1.24112,0.02177,0.02516,0.01687,0.01637,0.02177,0.02516,0.01687,0.01414,0.61271,5.63197,4.35746,1.01099,0.000153683,0.000153683,0.000153683
5,244.42,1.04981,2.69608,4.64273,1.21999,0.02614,0.09456,0.02976,0.02768,0.02589,0.09367,0.02925,0.025,0.65283,5.21065,4.24855,1.0298,0.000152911,0.000152911,0.000152911
6,291.899,1.03318,2.59835,4.49862,1.23867,0.02629,0.17795,0.03498,0.03256,0.02538,0.17116,0.0337,0.02835,0.676,5.10011,4.15356,1.07109,0.000152139,0.000152139,0.000152139
7,338.516,1.01531,2.51396,4.44621,1.1997,0.0259,0.25949,0.04172,0.03803,0.02521,0.25058,0.04046,0.03341,0.68706,6.58145,4.03002,1.05467,0.000151367,0.000151367,0.000151367
8,385.767,1.03419,2.50482,4.41404,1.21448,0.02453,0.30689,0.04632,0.04159,0.02389,0.29647,0.04477,0.03464,0.66346,5.76686,3.91999,1.03609,0.000150595,0.000150595,0.000150595
9,434.111,1.04551,2.45131,4.33226,1.20539,0.02261,0.34955,0.04856,0.04422,0.02216,0.34368,0.04803,0.03772,0.6535,5.62956,3.8369,1.04095,0.000149822,0.000149822,0.000149822
10,482.124,1.04377,2.44063,4.24337,1.21516,0.02668,0.42823,0.06287,0.0569,0.0263,0.41828,0.06218,0.04861,0.64078,5.5347,3.64093,1.01947,0.00014905,0.00014905,0.00014905
11,529.462,1.04208,2.40267,4.14529,1.22991,0.38136,0.09944,0.0767,0.06931,0.47216,0.08153,0.07625,0.06055,0.64519,5.70697,3.57651,1.0415,0.000148278,0.000148278,0.000148278
12,577.178,1.02945,2.331,4.06205,1.21531,0.51058,0.07872,0.09344,0.08367,0.50916,0.07667,0.09178,0.07063,0.65988,5.91204,3.52785,1.04498,0.000147506,0.000147506,0.000147506
13,626.489,1.04958,2.32281,4.03046,1.23515,0.39001,0.1118,0.10641,0.09401,0.38766,0.11028,0.10424,0.0802,0.68101,5.64071,3.38617,1.04922,0.000146734,0.000146734,0.000146734
