epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1866.8,1.22001,3.31855,3.15014,1.35301,0.33761,0.29187,0.25417,0.21709,0.3124,0.25293,0.20883,0.13028,0.67873,3.89848,2.37328,1.09535,0.000133606,0.000133606,0.000133606
31,1926.82,1.1448,3.29185,2.95222,1.33923,0.32714,0.29516,0.25799,0.21993,0.29622,0.26344,0.21716,0.1344,0.65565,3.76567,2.36949,1.08778,0.000132834,0.000132834,0.000132834
32,1986.92,1.15194,3.26247,2.9662,1.31982,0.35978,0.30221,0.2662,0.22774,0.35194,0.29438,0.25182,0.17071,0.64099,4.10561,2.2263,1.06053,0.000132062,0.000132062,0.000132062
33,2049.86,1.16921,3.26869,2.98208,1.34118,0.36078,0.31277,0.27296,0.2331,0.33306,0.28729,0.23957,0.1476,0.63547,3.83718,2.17636,1.06737,0.00013129,0.00013129,0.00013129
34,2112.29,1.18151,3.31851,2.95994,1.34967,0.29797,0.31443,0.26714,0.23044,0.30927,0.30467,0.25036,0.16776,0.64999,4.10151,2.22553,1.06828,0.000130517,0.000130517,0.000130517
35,2174.18,1.15411,3.26125,2.88721,1.34564,0.27492,0.3291,0.27127,0.23293,0.25738,0.30908,0.24334,0.15931,0.65009,3.92765,2.14474,1.07517,0.000129745,0.000129745,0.000129745
36,2236.9,1.18255,3.25554,2.95561,1.33779,0.38063,0.30239,0.28179,0.24126,0.36858,0.29745,0.2667,0.18052,0.62488,4.03119,2.18503,1.04118,0.000128973,0.000128973,0.000128973
37,2298.24,1.11491,3.27723,2.75837,1.31377,0.41658,0.30911,0.28276,0.24624,0.43827,0.28969,0.26464,0.18165,0.62947,4.01614,2.22484,1.04749,0.000128201,0.000128201,0.000128201
38,2358.41,1.09845,3.22862,2.72157,1.31423,0.41435,0.30929,0.29008,0.24939,0.40093,0.29828,0.27152,0.18954,0.64318,4.10731,2.12851,1.05818,0.000127429,0.000127429,0.000127429
39,2421.13,1.10578,3.22022,2.74913,1.3203,0.4006,0.31867,0.3119,0.2651,0.39102,0.30943,0.29077,0.1989,0.63201,3.95116,2.0761,1.07561,0.000126656,0.000126656,0.000126656
40,2481.17,1.17601,3.28955,2.87548,1.31886,0.38272,0.3253,0.3026,0.25887,0.37187,0.31662,0.28538,0.19954,0.66346,4.14211,2.11362,1.08516,0.000125884,0.000125884,0.000125884
41,2543.14,1.10829,3.21981,2.70668,1.30227,0.44227,0.32785,0.30397,0.26121,0.43412,0.30098,0.27936,0.18776,0.63936,4.08779,2.05181,1.06884,0.000125112,0.000125112,0.000125112
42,2605.18,1.11162,3.23174,2.68019,1.31915,0.38534,0.32793,0.30498,0.25837,0.35268,0.29917,0.261,0.16888,0.65642,3.89624,2.0603,1.07164,0.00012434,0.00012434,0.00012434
43,2666.55,1.11814,3.23506,2.69438,1.30675,0.51698,0.26427,0.31681,0.27304,0.36359,0.2845,0.27192,0.1805,0.61987,3.95766,2.10352,1.04296,0.000123568,0.000123568,0.000123568
44,2726.72,1.12769,3.22743,2.69312,1.29627,0.369,0.35103,0.31314,0.26782,0.34614,0.32833,0.2807,0.18821,0.6269,4.16592,2.00551,1.05,0.000122795,0.000122795,0.000122795
45,2790.01,1.10954,3.23569,2.66247,1.31548,0.392,0.34547,0.32182,0.27358,0.3567,0.31077,0.27,0.17582,0.62482,3.9644,2.01868,1.05752,0.000122023,0.000122023,0.000122023
46,2852.49,1.09789,3.22569,2.59807,1.30903,0.37965,0.34423,0.32637,0.27648,0.34169,0.31324,0.27989,0.18377,0.6299,4.03793,2.02462,1.04801,0.000121251,0.000121251,0.000121251
47,2912.36,1.13601,3.24191,2.65031,1.29859,0.4005,0.3408,0.31826,0.26857,0.3913,0.33222,0.29943,0.21151,0.6287,4.17998,2.02829,1.04475,0.000120479,0.000120479,0.000120479
48,2973.26,1.18643,3.26651,2.76424,1.29896,0.39614,0.35238,0.33524,0.28219,0.36289,0.32176,0.28006,0.18576,0.64385,3.9843,1.95304,1.06408,0.000119707,0.000119707,0.000119707
49,3035.06,1.08178,3.22096,2.56132,1.28588,0.45805,0.3387,0.3463,0.29637,0.43457,0.31763,0.31395,0.19846,0.62267,3.91335,1.92637,1.05514,0.000118934,0.000118934,0.000118934
50,3094.96,1.04866,3.17273,2.4478,1.28534,0.42891,0.36152,0.35029,0.29732,0.40574,0.34109,0.31904,0.21166,0.62744,3.98378,1.89521,1.05368,0.000118162,0.000118162,0.000118162
51,3156.28,1.1373,3.23539,2.60674,1.29614,0.38844,0.36085,0.3328,0.28459,0.37522,0.3436,0.30858,0.20503,0.61105,3.92526,1.88559,1.04331,0.00011739,0.00011739,0.00011739
52,3218.06,1.06056,3.15719,2.46636,1.28615,0.39013,0.36339,0.34118,0.28619,0.35371,0.32931,0.29087,0.17694,0.64058,3.90007,1.84537,1.06599,0.000116618,0.000116618,0.000116618
53,3279.34,1.15194,3.28239,2.62919,1.29865,0.41229,0.36038,0.34295,0.29288,0.40603,0.34951,0.32272,0.22035,0.63252,4.07093,1.89412,1.05468,0.000115846,0.000115846,0.000115846
54,3339.18,1.08633,3.18894,2.51649,1.27836,0.39869,0.36398,0.3444,0.29371,0.37451,0.32097,0.2943,0.19668,0.62809,3.89222,1.88889,1.05679,0.000115073,0.000115073,0.000115073
55,3400.39,1.0992,3.18625,2.50306,1.2686,0.45238,0.35633,0.35619,0.30276,0.41767,0.32751,0.30811,0.21151,0.63648,4.06288,1.86204,1.05991,0.000114301,0.000114301,0.000114301
56,3460.59,1.09152,3.21938,2.49985,1.28462,0.49611,0.34163,0.35576,0.30442,0.45274,0.30223,0.29421,0.19783,0.6269,4.00254,1.88199,1.04747,0.000113529,0.000113529,0.000113529
57,3519.82,1.06616,3.14486,2.41965,1.27624,0.45068,0.35454,0.35062,0.3003,0.42165,0.33588,0.31591,0.20986,0.61344,4.08414,1.86238,1.04208,0.000112757,0.000112757,0.000112757
58,3581.96,1.05164,3.18243,2.36811,1.28398,0.4431,0.36995,0.36104,0.30519,0.38717,0.31919,0.28888,0.18091,0.62217,3.85949,1.81426,1.05061,0.000111985,0.000111985,0.000111985
59,3644.82,1.09876,3.20396,2.4585,1.29317,0.45527,0.35742,0.36219,0.3099,0.45014,0.34008,0.33728,0.22947,0.63202,4.17155,1.83111,1.04885,0.000111212,0.000111212,0.000111212
60,3706.06,1.06503,3.16948,2.37315,1.2816,0.46684,0.36732,0.35885,0.30459,0.44365,0.33199,0.32028,0.20602,0.62536,3.89075,1.83223,1.04465,0.00011044,0.00011044,0.00011044
61,3767.01,1.07704,3.21342,2.41325,1.2822,0.44269,0.36699,0.35782,0.30404,0.41695,0.31361,0.29345,0.18242,0.62723,3.89062,1.77329,1.052,0.000109668,0.000109668,0.000109668
62,3826.44,1.06769,3.15876,2.39094,1.25275,0.45594,0.36601,0.36352,0.3117,0.43585,0.34758,0.33026,0.22654,0.62003,4.06303,1.83641,1.04128,0.000108896,0.000108896,0.000108896
63,3887.51,1.03427,3.15482,2.31203,1.25687,0.44489,0.37294,0.35449,0.30669,0.39163,0.33199,0.3013,0.19618,0.6195,4.02248,1.87295,1.03755,0.000108124,0.000108124,0.000108124
64,3947.46,1.03739,3.11346,2.31458,1.26619,0.43427,0.37441,0.35643,0.30682,0.43407,0.36279,0.33891,0.2313,0.61424,4.15431,1.87304,1.03578,0.000107351,0.000107351,0.000107351
