epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0657,1.19746,3.56444,4.7593,1.38869,0.01183,0.27668,0.01651,0.01417,0.02992,0.20305,0.0151,0.01158,0.64978,6.11332,4.1064,1.03924,4.056e-05,4.056e-05,4.056e-05
2,59.6148,1.02866,2.86413,4.13837,1.2923,0.12645,0.17651,0.08221,0.07278,0.12593,0.17354,0.08137,0.06342,0.64,6.19434,3.40569,1.04055,8.2675e-05,8.2675e-05,8.2675e-05
3,84.9157,0.98522,2.62142,3.45954,1.26647,0.17455,0.25871,0.14222,0.12451,0.17228,0.25402,0.13782,0.09809,0.67339,5.76502,3.21085,1.07033,0.00012477,0.00012477,0.00012477
4,110.337,0.98145,2.54375,3.05336,1.24141,0.30926,0.23772,0.19156,0.16118,0.30606,0.23044,0.18285,0.12691,0.71857,5.31725,2.88714,1.07459,0.000155914,0.000155914,0.000155914
5,133.555,0.97437,2.47725,2.76674,1.19443,0.34699,0.26817,0.23903,0.20052,0.34296,0.25654,0.22679,0.15393,0.70405,5.18309,2.58972,1.06642,0.000155848,0.000155848,0.000155848
6,157.92,0.94563,2.38939,2.49404,1.19479,0.30905,0.31649,0.28096,0.23367,0.30655,0.31,0.27038,0.19262,0.68115,5.07414,2.10255,1.05217,0.000155762,0.000155762,0.000155762
7,180.924,0.91436,2.30202,2.31538,1.16761,0.39766,0.30168,0.31636,0.26974,0.38882,0.29512,0.30025,0.21074,0.64252,5.56589,2.02295,1.03308,0.000155657,0.000155657,0.000155657
8,203.9,0.88848,2.28373,2.1422,1.14865,0.44231,0.34204,0.32819,0.2769,0.42863,0.33206,0.31508,0.22803,0.67064,5.87929,1.96753,1.03418,0.000155534,0.000155534,0.000155534
9,226.78,0.85672,2.15787,1.99808,1.13015,0.39383,0.38488,0.3681,0.32096,0.39702,0.37681,0.35685,0.2629,0.64084,5.99822,1.81955,1.02285,0.000155391,0.000155391,0.000155391
10,250.103,0.86254,2.18547,1.94265,1.12727,0.49455,0.39667,0.40954,0.35368,0.50525,0.38443,0.39148,0.28645,0.6372,5.91226,1.63531,1.01313,0.00015523,0.00015523,0.00015523
11,272.715,0.81574,2.1413,1.77078,1.10728,0.52064,0.41062,0.42064,0.3643,0.51908,0.40535,0.40514,0.30857,0.63243,6.773,1.62543,1.01053,0.000155049,0.000155049,0.000155049
12,296.833,0.82131,2.06135,1.72095,1.11135,0.52066,0.3966,0.40133,0.34602,0.52099,0.39431,0.38513,0.2883,0.61802,5.79248,1.74449,1.00531,0.00015485,0.00015485,0.00015485
13,319.238,0.852,2.14477,1.76935,1.11642,0.58185,0.40235,0.4445,0.37793,0.60405,0.39367,0.42667,0.31779,0.61648,5.31574,1.59929,1.01043,0.000154632,0.000154632,0.000154632
14,342.042,0.80381,2.10912,1.59993,1.09175,0.53317,0.4367,0.44485,0.38368,0.53028,0.43134,0.42562,0.31322,0.58368,6.11288,1.37141,0.99368,0.000154396,0.000154396,0.000154396
15,364.495,0.78379,2.03066,1.54101,1.08736,0.59451,0.42476,0.4728,0.40539,0.58797,0.4164,0.45051,0.34318,0.62204,6.28182,1.48809,1.01208,0.00015414,0.00015414,0.00015414
16,387.572,0.79085,2.08348,1.52502,1.08556,0.55567,0.44383,0.46041,0.38888,0.54611,0.43198,0.43427,0.31793,0.60769,5.92439,1.56316,1.00373,0.000153866,0.000153866,0.000153866
17,411.19,0.76827,2.04055,1.47306,1.08276,0.59116,0.43733,0.47092,0.40386,0.61399,0.43489,0.45097,0.34051,0.59828,6.24524,1.43495,0.99342,0.000153574,0.000153574,0.000153574
18,433.886,0.787,2.03491,1.48091,1.09253,0.60174,0.44001,0.48608,0.40632,0.60145,0.43859,0.46227,0.33631,0.63729,6.00827,1.40772,1.01151,0.000153263,0.000153263,0.000153263
19,457.244,0.75462,1.95974,1.39464,1.07663,0.59225,0.42906,0.4568,0.38143,0.58395,0.42107,0.43146,0.30947,0.62815,6.53213,1.52733,0.99739,0.000152934,0.000152934,0.000152934
20,481.255,0.74933,2.00234,1.37326,1.08439,0.59428,0.45382,0.4824,0.41251,0.63911,0.40879,0.45689,0.34246,0.62008,6.33048,1.40336,1.0125,0.000152586,0.000152586,0.000152586
21,503.646,0.75731,1.94606,1.36024,1.07534,0.6892,0.45104,0.51563,0.44246,0.68106,0.44553,0.48457,0.35854,0.57356,6.2728,1.22059,0.9888,0.000152221,0.000152221,0.000152221
22,527.555,0.76058,1.97544,1.3511,1.07849,0.66211,0.44503,0.49569,0.43233,0.65414,0.43886,0.46815,0.36078,0.59686,6.11215,1.38778,1.00121,0.000151837,0.000151837,0.000151837
23,549.856,0.77606,1.98473,1.35083,1.06693,0.56091,0.46827,0.49805,0.42905,0.64167,0.42776,0.47118,0.36435,0.58257,5.78831,1.36795,0.98235,0.000151435,0.000151435,0.000151435
24,572.385,0.77508,1.9673,1.34648,1.06931,0.68642,0.47764,0.51144,0.44169,0.68574,0.47624,0.48655,0.37157,0.6115,6.70052,1.2467,1.00719,0.000151015,0.000151015,0.000151015
25,596.061,0.74104,1.89472,1.2964,1.06985,0.62231,0.42649,0.46854,0.4055,0.62005,0.42133,0.44525,0.34034,0.57715,6.18408,1.45035,0.99427,0.000150577,0.000150577,0.000150577
26,620.298,0.7207,1.90096,1.24117,1.0658,0.60989,0.4603,0.50056,0.43359,0.60555,0.4587,0.47577,0.36613,0.57898,5.68406,1.29189,1.01551,0.000150122,0.000150122,0.000150122
27,643.281,0.7394,1.91874,1.27665,1.0633,0.6108,0.48046,0.50661,0.43767,0.61138,0.46738,0.47921,0.36171,0.57541,5.90902,1.25536,0.99165,0.000149649,0.000149649,0.000149649
28,666.394,0.74674,1.92652,1.2319,1.06548,0.62731,0.46206,0.50585,0.42876,0.62619,0.45735,0.47684,0.35356,0.59882,6.19826,1.33988,1.0032,0.000149159,0.000149159,0.000149159
29,688.153,0.74131,1.88889,1.2399,1.0598,0.69497,0.48344,0.53211,0.46044,0.71081,0.47227,0.50012,0.38329,0.56677,6.89312,1.06276,0.98223,0.000148651,0.000148651,0.000148651
30,710.417,0.75326,1.9396,1.2199,1.0646,0.6688,0.4971,0.54429,0.46676,0.68868,0.47775,0.50918,0.38639,0.57321,6.12553,1.12894,0.99535,0.000148126,0.000148126,0.000148126
31,734.226,0.72154,1.91031,1.18052,1.05956,0.61633,0.46339,0.49417,0.42641,0.61431,0.45674,0.46294,0.34749,0.57132,5.59869,1.2601,1.00882,0.000147584,0.000147584,0.000147584
32,757.138,0.70966,1.88203,1.16804,1.04347,0.60253,0.48367,0.50895,0.42737,0.59857,0.47365,0.47841,0.34863,0.60139,5.65555,1.23897,1.00116,0.000147024,0.000147024,0.000147024
33,779.583,0.73889,1.89302,1.17695,1.05633,0.66024,0.44635,0.49992,0.43392,0.66333,0.44516,0.47498,0.35277,0.56556,6.10802,1.38638,0.99445,0.000146448,0.000146448,0.000146448
34,803.597,0.7212,1.8723,1.15045,1.05575,0.62529,0.45525,0.49841,0.41362,0.61806,0.44849,0.46551,0.33512,0.6312,5.89673,1.41613,1.02931,0.000145856,0.000145856,0.000145856
35,826.607,0.71841,1.8685,1.16343,1.05809,0.6479,0.47066,0.51032,0.44022,0.64412,0.46628,0.48467,0.36984,0.59362,6.66826,1.24452,1.01067,0.000145246,0.000145246,0.000145246
36,849.386,0.73027,1.88494,1.14847,1.04506,0.69772,0.48282,0.53091,0.45845,0.69807,0.47999,0.50287,0.38359,0.57387,6.23611,1.14218,1.01213,0.000144621,0.000144621,0.000144621
37,872.086,0.70269,1.83733,1.10394,1.04494,0.66595,0.50556,0.53635,0.46271,0.67407,0.4917,0.50096,0.38896,0.58387,5.76874,1.20548,1.02185,0.000143979,0.000143979,0.000143979
38,894.716,0.68803,1.78845,1.09141,1.04049,0.70725,0.47898,0.54031,0.46887,0.7017,0.47362,0.50745,0.39293,0.54993,6.10667,1.10184,0.99576,0.000143321,0.000143321,0.000143321
39,917.33,0.70047,1.83237,1.09295,1.05155,0.7187,0.48319,0.54407,0.46811,0.71537,0.47773,0.50986,0.39106,0.567,6.32376,1.10217,0.99489,0.000142647,0.000142647,0.000142647
40,940.428,0.72428,1.92318,1.12801,1.0285,0.71071,0.48428,0.54477,0.46745,0.71698,0.48119,0.51773,0.38952,0.56864,6.32833,1.05721,0.99054,0.000141958,0.000141958,0.000141958
41,963.663,0.72175,1.84027,1.1242,1.04277,0.68861,0.48958,0.53833,0.46171,0.68547,0.48155,0.50641,0.37729,0.57177,6.51422,1.10858,0.98691,0.000141252,0.000141252,0.000141252
42,986.73,0.6956,1.81473,1.07945,1.03819,0.72479,0.47354,0.53979,0.46627,0.72659,0.47172,0.50938,0.38428,0.56329,6.2577,1.12454,0.9991,0.000140532,0.000140532,0.000140532
43,1010.25,0.71217,1.8656,1.0748,1.0426,0.72476,0.48094,0.53946,0.46605,0.76302,0.45779,0.5086,0.38618,0.56244,5.68317,1.15642,0.98822,0.000139796,0.000139796,0.000139796
44,1033.31,0.68709,1.79943,1.03481,1.02598,0.66312,0.49158,0.53851,0.46432,0.68237,0.47774,0.50419,0.37913,0.56676,5.97948,1.29952,1.00672,0.000139045,0.000139045,0.000139045
45,1055.63,0.71437,1.85417,1.07638,1.04882,0.71878,0.47945,0.54306,0.47262,0.76508,0.46242,0.51478,0.39091,0.59152,6.67445,1.15733,1.02376,0.000138279,0.000138279,0.000138279
46,1078.68,0.67516,1.73419,1.03006,1.0379,0.70071,0.4871,0.54524,0.47552,0.69659,0.48143,0.51196,0.38249,0.54161,6.06982,1.0936,0.97456,0.000137499,0.000137499,0.000137499
47,1101.44,0.70789,1.82091,1.08896,1.04398,0.74697,0.48345,0.54524,0.4763,0.75074,0.47983,0.51988,0.40949,0.56182,6.59716,1.0739,0.99583,0.000136704,0.000136704,0.000136704
48,1123.87,0.72747,1.85064,1.0942,1.03072,0.725,0.4684,0.52839,0.45821,0.72464,0.46506,0.50477,0.37692,0.54592,5.58223,1.20435,0.97685,0.000135894,0.000135894,0.000135894
